REG_ANS;ValorDespesas;Ano;Trimestre
316849;292907.23;2025;1
316849;0.0;2025;1
316849;199868.05;2025;1
316849;199868.05;2025;1
316903;25535.0;2025;1
316903;124677.97;2025;1
316903;124876.67;2025;1
316903;102223.76;2025;1
316903;102223.76;2025;1
316903;102223.76;2025;1
316903;18995.81;2025;1
316903;18995.81;2025;1
316903;18995.81;2025;1
316903;3657.1;2025;1
316903;3657.1;2025;1
316903;3657.1;2025;1
316903;-198.7;2025;1
316903;-198.7;2025;1
316903;-198.7;2025;1
316903;-198.7;2025;1
316903;-198.7;2025;1
316903;-198.7;2025;1
317144;7749710.64;2025;1
317144;7749710.64;2025;1
317144;242.31;2025;1
317144;242.31;2025;1
317896;298622.88;2025;1
317896;298622.88;2025;1
317896;298622.88;2025;1
317896;1105380.63;2025;1
317896;0.0;2025;1
317896;6196.96;2025;1
318213;9578642.82;2025;1
318213;10087318.51;2025;1
318213;6720140.76;2025;1
318213;6720140.76;2025;1
318213;54581.8;2025;1
318213;365647.93;2025;1
318213;31843.31;2025;1
318213;350616.54;2025;1
318213;7955.63;2025;1
318213;632005.95;2025;1
318213;485188.89;2025;1
318213;1213976.68;2025;1
318213;91245.97;2025;1
318213;1390754.74;2025;1
318213;28772.22;2025;1
318213;2450522.86;2025;1
318213;85633.24;2025;1
318213;600201.6;2025;1
318213;1417.88;2025;1
318213;690383.39;2025;1
318213;0.3;2025;1
318213;208259.66;2025;1
318213;1494.04;2025;1
318213;468.51;2025;1
318213;2220.16;2025;1
318213;1500634.49;2025;1
318213;1339249.2;2025;1
318213;4761.19;2025;1
318213;638.42;2025;1
318213;1168.75;2025;1
318213;4919584.58;2025;1
318213;6109593.74;2025;1
318213;1423.12;2025;1
318213;397666.29;2025;1
312720;76263.74;2025;1
312720;1885260.08;2025;1
312720;34475.32;2025;1
312720;61543.54;2025;1
312720;154521.79;2025;1
312720;2918203.76;2025;1
312720;889057.56;2025;1
312720;100.0;2025;1
312720;0.0;2025;1
312720;2478778.78;2025;1
312720;113988.18;2025;1
312720;1453898.82;2025;1
312720;192062.3;2025;1
312720;4863778.21;2025;1
312720;125823.77;2025;1
312720;106026.22;2025;1
312720;38057.08;2025;1
312720;4537021.79;2025;1
312720;942352.44;2025;1
312720;5884.51;2025;1
312720;0.0;2025;1
312720;5435743.38;2025;1
312720;168298.39;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;3373957.31;2025;1
312720;298125.01;2025;1
312720;108.25;2025;1
312720;0.0;2025;1
312720;749102.62;2025;1
312720;21523.94;2025;1
312720;1702358.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;4075603.41;2025;1
312720;459878.44;2025;1
312720;13702.07;2025;1
312720;0.0;2025;1
312720;2162305.91;2025;1
312720;291943.02;2025;1
312720;2689518.29;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;6846667.26;2025;1
312720;6846667.26;2025;1
312720;202773.89;2025;1
312720;2816.83;2025;1
312720;199005.86;2025;1
312720;9840.5;2025;1
312720;89345.47;2025;1
312720;3287.24;2025;1
312720;2436678.37;2025;1
312720;13239.97;2025;1
312720;2619.76;2025;1
312720;0.0;2025;1
312720;824593.82;2025;1
312720;502.67;2025;1
312720;90247.93;2025;1
312720;2155.2;2025;1
312720;181658.79;2025;1
312720;27737.28;2025;1
312720;36074.21;2025;1
312720;14721.53;2025;1
312720;462682.31;2025;1
312720;328368.27;2025;1
312720;0.0;2025;1
314099;50566553.02;2025;1
314099;50002359.35;2025;1
314099;27021654.72;2025;1
314099;27021654.72;2025;1
314099;261632.0;2025;1
314099;383148.74;2025;1
314099;2819600.49;2025;1
314099;1591626.16;2025;1
314099;1835779.4;2025;1
314099;12960288.89;2025;1
314099;2217107.85;2025;1
314099;1439428.74;2025;1
314099;10229431.34;2025;1
314099;61329.54;2025;1
314099;8777417.03;2025;1
314099;352016.71;2025;1
314099;191637.93;2025;1
314099;1321681.35;2025;1
314099;1321681.35;2025;1
314099;52633.5;2025;1
314099;81945.98;2025;1
314099;454670.98;2025;1
314099;59860.11;2025;1
314099;91996.57;2025;1
314099;597298.29;2025;1
314099;410457.23;2025;1
314099;4506.57;2025;1
314099;9757.06;2025;1
314099;5443296.7;2025;1
314099;5443296.7;2025;1
314099;556353.36;2025;1
314099;895507.01;2025;1
314099;4118219.41;2025;1
314099;27026.8;2025;1
314099;647637.57;2025;1
314099;15550690.18;2025;1
314099;15550690.18;2025;1
314099;1123609.06;2025;1
314099;2928797.19;2025;1
314099;12728714.2;2025;1
314251;107652.14;2025;1
314251;85852.36;2025;1
314251;21799.78;2025;1
314251;6023933.08;2025;1
314251;6972881.06;2025;1
314251;6926358.65;2025;1
314251;46522.41;2025;1
315494;977764.35;2025;1
315494;559484.15;2025;1
315494;2090.66;2025;1
315494;416189.54;2025;1
315494;422880.76;2025;1
315494;3728695.35;2025;1
315494;3597814.76;2025;1
315494;130880.59;2025;1
315494;564264.63;2025;1
315648;11037437.84;2025;1
315648;10972413.86;2025;1
315648;4082340.6;2025;1
315648;4082340.6;2025;1
315648;151596.92;2025;1
315648;791640.42;2025;1
315648;49530.64;2025;1
315648;193739.28;2025;1
315648;8402.43;2025;1
315648;1585151.15;2025;1
315648;156930.03;2025;1
315648;1356230.88;2025;1
315648;95020.92;2025;1
315648;174780.5;2025;1
315648;4216.03;2025;1
315648;1087097.4;2025;1
315648;10000.0;2025;1
315648;712216.46;2025;1
315648;112734.8;2025;1
315648;112734.8;2025;1
315648;15785.94;2025;1
315648;24547.44;2025;1
315648;1920.28;2025;1
315648;5979.68;2025;1
315648;60553.35;2025;1
315648;13932.06;2025;1
315648;214.0;2025;1
315648;2320340.51;2025;1
315648;2320340.51;2025;1
315648;173225.61;2025;1
315648;385500.67;2025;1
315648;35051.64;2025;1
315648;118509.56;2025;1
315648;13535.56;2025;1
315648;1509606.86;2025;1
315648;510.01;2025;1
315648;84400.6;2025;1
315648;4156184.28;2025;1
315648;4156184.28;2025;1
315648;66607.62;2025;1
315648;837796.16;2025;1
315648;485.51;2025;1
315648;41775.6;2025;1
315648;1070.97;2025;1
315648;320965.89;2025;1
315648;134242.12;2025;1
315648;1156543.58;2025;1
315796;3994951.57;2025;1
315796;3994951.57;2025;1
316997;0.0;2025;1
316997;0.0;2025;1
316997;0.0;2025;1
316997;0.0;2025;1
317896;3740668.82;2025;1
317896;2634158.45;2025;1
317896;643762.93;2025;1
317896;462747.44;2025;1
317896;14469532.39;2025;1
317896;4733850.08;2025;1
317896;4340544.41;2025;1
317896;393305.67;2025;1
317896;1740924.56;2025;1
318213;443810.93;2025;1
318213;303007.46;2025;1
318213;303007.46;2025;1
318213;168.76;2025;1
318213;123.49;2025;1
318213;517.11;2025;1
318213;736.92;2025;1
318213;9972.33;2025;1
318213;80032.26;2025;1
318213;5824.82;2025;1
318213;59788.92;2025;1
318213;396.42;2025;1
318213;164160.79;2025;1
318213;570.16;2025;1
318213;2290.5;2025;1
318213;258049.67;2025;1
318213;359371.58;2025;1
318213;26168.8;2025;1
318213;26168.8;2025;1
318213;1196.66;2025;1
318213;8722.4;2025;1
318213;129976.2;2025;1
318213;6935.47;2025;1
318213;2837496.18;2025;1
318213;2837496.18;2025;1
318213;156457.61;2025;1
318213;539705.49;2025;1
318213;18410.12;2025;1
318213;512990.74;2025;1
318213;256.2;2025;1
318213;496655.82;2025;1
318213;49868.61;2025;1
318213;432448.12;2025;1
318213;1018.04;2025;1
318213;482663.79;2025;1
318213;385972.71;2025;1
318213;772.45;2025;1
318213;45751.86;2025;1
318213;276.2;2025;1
318213;25165.87;2025;1
318213;100827.16;2025;1
318213;15204.43;2025;1
318213;4789.41;2025;1
318213;348058.8;2025;1
318213;314013.55;2025;1
318213;0.0;2025;1
318213;108822.41;2025;1
318213;159842.47;2025;1
318213;159842.47;2025;1
318213;2800.0;2025;1
318213;43757.25;2025;1
318213;2640.7;2025;1
318213;22353.85;2025;1
318213;106718.57;2025;1
318213;350.0;2025;1
318213;135429.14;2025;1
318213;40662.84;2025;1
318213;40662.84;2025;1
318213;126568.04;2025;1
318213;-508675.69;2025;1
318213;-508675.69;2025;1
318213;-508675.69;2025;1
318213;-508675.69;2025;1
318213;-508675.69;2025;1
318213;-508565.89;2025;1
318213;-109.8;2025;1
312720;0.0;2025;1
312720;961679.47;2025;1
312720;1628.8;2025;1
312720;0.0;2025;1
312720;1414658.37;2025;1
312720;8800.15;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;474078.83;2025;1
312720;184.66;2025;1
312720;17126.16;2025;1
312720;1590.3;2025;1
312720;463737.86;2025;1
312720;149374.74;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;226068.38;2025;1
312720;128702.38;2025;1
312720;1783.04;2025;1
312720;110817939.03;2025;1
312720;110817939.03;2025;1
312720;5179536.3;2025;1
312720;71876.16;2025;1
312720;6018823.91;2025;1
312720;397414.26;2025;1
312720;2472541.92;2025;1
312720;154980.24;2025;1
312720;71951771.98;2025;1
312720;889565.47;2025;1
312720;102094.15;2025;1
312720;0.0;2025;1
312720;26540493.4;2025;1
312720;139098.54;2025;1
312720;1289387.13;2025;1
312720;7534.31;2025;1
312720;2460130.76;2025;1
312720;682.52;2025;1
312720;186269.04;2025;1
312720;0.0;2025;1
312720;7836407.65;2025;1
312720;109168.68;2025;1
312720;2729.23;2025;1
312720;0.0;2025;1
312720;21732157.56;2025;1
312720;49655.05;2025;1
312720;45694109.01;2025;1
312720;232493.52;2025;1
312720;67976.03;2025;1
312720;0.0;2025;1
312720;15287999.74;2025;1
312720;11063.14;2025;1
312720;3109361.9;2025;1
312720;150695.5;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;7791124.62;2025;1
312720;1275.88;2025;1
312720;2334395.58;2025;1
312720;2334395.58;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;20171.45;2025;1
312720;0.0;2025;1
312720;106933.92;2025;1
312720;0.0;2025;1
312720;13930.42;2025;1
312720;0.0;2025;1
312720;840176.43;2025;1
312720;0.0;2025;1
312720;2760.0;2025;1
313084;790551.44;2025;1
313084;176494.03;2025;1
313084;332347.68;2025;1
313084;281709.73;2025;1
313084;2890907.12;2025;1
313084;4644649.98;2025;1
313084;4321317.59;2025;1
313084;323332.39;2025;1
313084;487020.7;2025;1
313084;250101.34;2025;1
313084;156125.82;2025;1
313084;80793.54;2025;1
313084;2327835.19;2025;1
313211;30683296.16;2025;1
313211;30513316.65;2025;1
313211;5413427.55;2025;1
313211;5413427.55;2025;1
313211;110298.89;2025;1
313211;1050158.51;2025;1
313211;178.29;2025;1
313211;105271.99;2025;1
313211;84144.25;2025;1
313211;4086235.43;2025;1
313211;5884.43;2025;1
313211;63203.45;2025;1
313211;21.1;2025;1
313211;5306.43;2025;1
313211;442987.4;2025;1
313211;63113.89;2025;1
313211;332790.82;2025;1
313211;2054615.23;2025;1
313211;2756.82;2025;1
313211;22365.26;2025;1
313211;14796656.22;2025;1
314099;362409.1;2025;1
314099;231768.69;2025;1
314099;231768.69;2025;1
314099;34891.0;2025;1
314099;25248.5;2025;1
314099;263717.41;2025;1
314099;14390.0;2025;1
314099;433267.71;2025;1
314099;433267.71;2025;1
314099;39283.42;2025;1
314099;115406.7;2025;1
314099;262283.82;2025;1
314099;16293.77;2025;1
314099;564193.67;2025;1
314099;564193.67;2025;1
314099;564193.67;2025;1
314099;564193.67;2025;1
314099;564193.67;2025;1
314099;507710.25;2025;1
314099;56483.42;2025;1
314099;561932.19;2025;1
314099;393054.51;2025;1
314251;17771323.75;2025;1
314251;17698031.15;2025;1
314251;12063241.77;2025;1
314251;12063241.77;2025;1
314251;12382478.13;2025;1
314251;79449.69;2025;1
314251;3849194.12;2025;1
314251;3849194.12;2025;1
314251;3865081.59;2025;1
314251;1525581.09;2025;1
314251;1525581.09;2025;1
314251;1649937.95;2025;1
314251;230537.89;2025;1
314251;230537.89;2025;1
314251;286634.33;2025;1
314251;29476.28;2025;1
314251;29476.28;2025;1
314251;29476.28;2025;1
314251;73292.6;2025;1
314251;73292.6;2025;1
314251;73292.6;2025;1
314251;73292.6;2025;1
314251;73292.6;2025;1
314251;69355.34;2025;1
314251;3937.26;2025;1
314251;31255.77;2025;1
314668;1399887.37;2025;1
314668;1337208.22;2025;1
314668;1024383.23;2025;1
314668;1185167.7;2025;1
314668;312824.99;2025;1
314668;312824.99;2025;1
314668;62679.15;2025;1
314668;62679.15;2025;1
314668;94071.28;2025;1
315044;2463058.39;2025;1
315044;2223945.25;2025;1
315044;2223945.25;2025;1
315044;2355857.46;2025;1
315044;239113.14;2025;1
315044;239113.14;2025;1
315044;247180.87;2025;1
315494;196999.76;2025;1
315494;196999.76;2025;1
315648;4254.8;2025;1
315648;198811.86;2025;1
315648;3231.22;2025;1
315648;1509866.4;2025;1
315648;18465.64;2025;1
315648;18465.64;2025;1
315648;15556.22;2025;1
315648;73.2;2025;1
315648;1117.18;2025;1
315648;906.1;2025;1
315648;332.7;2025;1
315648;480.24;2025;1
315648;43848.03;2025;1
315648;43848.03;2025;1
315648;60147.57;2025;1
315648;238500.0;2025;1
315648;238500.0;2025;1
315648;238500.0;2025;1
315648;65023.98;2025;1
315648;65023.98;2025;1
315648;65023.98;2025;1
315648;65023.98;2025;1
315648;65023.98;2025;1
315648;125731.81;2025;1
315648;-60707.83;2025;1
316997;2843.96;2025;1
316997;315125.98;2025;1
316997;315125.98;2025;1
317896;1286593.57;2025;1
317896;1265084.68;2025;1
317896;21508.89;2025;1
312720;0.0;2025;1
312720;410896.83;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;822341.43;2025;1
312720;-84.32;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;150225.61;2025;1
312720;0.0;2025;1
312720;436213.37;2025;1
312720;436213.37;2025;1
312720;32361.49;2025;1
312720;4476.29;2025;1
312720;88865.69;2025;1
312720;170613.31;2025;1
312720;126657.45;2025;1
312720;260432.96;2025;1
312720;50413.49;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;3292916.07;2025;1
312720;3292916.07;2025;1
312720;3292916.07;2025;1
312720;3292916.07;2025;1
312720;3292916.07;2025;1
312720;3400874.73;2025;1
312720;-107958.66;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
312720;0.0;2025;1
313084;1555466.37;2025;1
313084;1286195.74;2025;1
313084;269270.63;2025;1
313084;754635.6;2025;1
313084;623998.77;2025;1
313084;130636.83;2025;1
313211;14796656.22;2025;1
313211;259392.47;2025;1
313211;4593064.69;2025;1
313211;206.51;2025;1
313211;767733.85;2025;1
313211;126.12;2025;1
313211;10083833.2;2025;1
313211;216403.38;2025;1
313211;1018048.12;2025;1
313211;4980794.67;2025;1
313211;9747280.13;2025;1
313211;9747280.13;2025;1
313211;61368.96;2025;1
313211;1556188.91;2025;1
313211;62855.85;2025;1
313211;244.0;2025;1
313211;8952492.19;2025;1
313211;446335.46;2025;1
313211;211141.91;2025;1
313211;382183.73;2025;1
313211;382183.73;2025;1
313211;55911.62;2025;1
313211;326272.11;2025;1
313211;173769.02;2025;1
313211;173769.02;2025;1
313211;173769.02;2025;1
313211;169979.51;2025;1
313211;169979.51;2025;1
313211;169979.51;2025;1
313211;169979.51;2025;1
